notes,date,site_name,inv_lvl,forest_type,treatment,rep,layer,species,growth_stage,ecol_group,length_mm,LN_length,calc_LN_biomass,biomass_AFDg,area_m2
,10/4/2019,C2BR2,2,C,C2B,R2,min,Dendrobaena octaedra,juv,epigeic,13,2.564949357,-6.111511019,0.002217198,0.080425
,10/4/2019,C2BR2,2,C,C2B,R2,min,Dendrobaena octaedra,juv,epigeic,11,2.397895273,-6.551949113,0.001427331,0.080425
,10/4/2019,C2BR2,2,C,C2B,R2,min,Dendrobaena octaedra,juv,epigeic,12,2.48490665,-6.322543618,0.001795371,0.080425
,10/4/2019,C2BR2,2,C,C2B,R2,min,Dendrobaena octaedra,juv,epigeic,12,2.48490665,-6.322543618,0.001795371,0.080425
,10/4/2019,C2BR2,2,C,C2B,R2,min,Dendrobaena octaedra,juv,epigeic,11,2.397895273,-6.551949113,0.001427331,0.080425
,10/4/2019,C2BR2,2,C,C2B,R2,min,Dendrobaena octaedra,juv,epigeic,11,2.397895273,-6.551949113,0.001427331,0.080425
,10/4/2019,C2BR3,2,C,C2B,R3,min,Aporrectodea caliginosa complex,adult,endogeic,84,4.430816799,-2.011762769,0.133752692,0.080425
,10/4/2019,C2BR3,2,C,C2B,R3,min,Aporrectodea caliginosa complex,adult,endogeic,73,4.290459441,-2.316815451,0.098587042,0.080425
,10/4/2019,C2BR3,2,C,C2B,R3,min,Dendrobaena octaedra,juv,epigeic,17,2.833213344,-5.404233018,0.004497503,0.080425
Broken cap. Itasca - two inlet,9/22/2019,C5AR1,5,C,C5A,R1,,Lumbricus species,juv,epi-anecic,96,4.564348191,-1.241601325,0.288921191,0.080425
,9/22/2019,C5AR1,5,C,C5A,R1,,Dendrobaena octaedra,juv,epigeic,16,2.772588722,-5.564069834,0.003833144,0.080425
,9/22/2019,C5AR1,5,C,C5A,R1,,Dendrobaena octaedra,juv,epigeic,16,2.772588722,-5.564069834,0.003833144,0.080425
,9/22/2019,C5AR1,5,C,C5A,R1,,Aporrectodea species,juv,endogeic,20,2.995732274,-5.130775477,0.005911974,0.080425
,9/22/2019,C5AR2,5,C,C5A,R2,,Aporrectodea caliginosa complex,adult,endogeic,56,4.025351691,-2.893000635,0.055409699,0.080425
,9/22/2019,C5AR2,5,C,C5A,R2,,Lumbricus species,juv,epi-anecic,37,3.610917913,-3.455943148,0.031557527,0.080425
,9/22/2019,C5AR2,5,C,C5A,R2,,Dendrobaena octaedra,juv,epigeic,15,2.708050201,-5.734225645,0.003233385,0.080425
,9/22/2019,C5AR3,5,C,C5A,R3,,Dendrobaena octaedra,adult,epigeic,25,3.218875825,-4.387433888,0.012432592,0.080425
,9/22/2019,C5AR3,5,C,C5A,R3,,Lumbricus rubellus,adult,epi-endogeic,45,3.80666249,-3.001326368,0.049721076,0.080425
,9/22/2019,C5AR3,5,C,C5A,R3,,Dendrobaena octaedra,adult,epigeic,20,2.995732274,-4.975751861,0.006903327,0.080425
,9/22/2019,C5AR3,5,C,C5A,R3,,Dendrobaena octaedra,juv,epigeic,23,3.135494216,-4.6072695,0.009979029,0.080425
,9/22/2019,C5AR3,5,C,C5A,R3,,Dendrobaena octaedra,juv,epigeic,15,2.708050201,-5.734225645,0.003233385,0.080425
,9/22/2019,C5AR3,5,C,C5A,R3,,Dendrobaena octaedra,juv,epigeic,23,3.135494216,-4.6072695,0.009979029,0.080425
,9/22/2019,C5AR3,5,C,C5A,R3,,Dendrobaena octaedra,adult,epigeic,19,2.944438979,-5.110986631,0.00603013,0.080425
,9/22/2019,C5AR3,5,C,C5A,R3,,Dendrobaena octaedra,juv,epigeic,16,2.772588722,-5.564069834,0.003833144,0.080425
,9/22/2019,C5AR3,5,C,C5A,R3,,Aporrectodea species,juv,endogeic,49,3.891820298,-3.183217764,0.041452057,0.080425
,9/22/2019,C5AR3,5,C,C5A,R3,,Aporrectodea species,juv,endogeic,31,3.433987204,-4.17827221,0.015324963,0.080425
,9/22/2019,C5AR3,5,C,C5A,R3,,Aporrectodea species,juv,endogeic,31,3.433987204,-4.17827221,0.015324963,0.080425
,9/22/2019,C5AR3,5,C,C5A,R3,,Aporrectodea species,juv,endogeic,42,3.737669618,-3.518248852,0.029651314,0.080425
Part of head missing,9/22/2019,C5AR3,5,C,C5A,R3,,Aporrectodea species,juv,endogeic,23,3.135494216,-4.827016871,0.008010382,0.080425
,9/22/2019,C5AR3,5,C,C5A,R3,,Aporrectodea species,juv,endogeic,18,2.890371758,-5.359766021,0.004702006,0.080425
,9/22/2019,C5AR3,5,C,C5A,R3,,Octolasion species,juv,endogeic,11,2.397895273,-6.756416916,0.00116339,0.080425
,9/22/2019,C5BR1,5,C,C5B,R1,org,Dendrobaena octaedra,juv,epigeic,21,3.044522438,-4.847116593,0.007850983,0.080425
,9/22/2019,C5BR1,5,C,C5B,R1,,Dendrobaena octaedra,juv,epigeic,22,3.091042453,-4.724466572,0.008875447,0.080425
,9/22/2019,C5BR1,5,C,C5B,R1,,Dendrobaena octaedra,juv,epigeic,21,3.044522438,-4.847116593,0.007850983,0.080425
,9/22/2019,C5BR1,5,C,C5B,R1,,Octolasion tyrataem,adult,endogeic,42,3.737669618,-3.257328258,0.038491099,0.080425
,9/22/2019,C5BR1,5,C,C5B,R1,,Lumbricus species,juv,epi-anecic,55,4.007333185,-2.535268677,0.079240426,0.080425
,9/22/2019,C5BR1,5,C,C5B,R1,,Dendrobaena octaedra,juv,epigeic,25,3.218875825,-4.387433888,0.012432592,0.080425
,9/22/2019,C5BR1,5,C,C5B,R1,,Dendrobaena octaedra,juv,epigeic,21,3.044522438,-4.847116593,0.007850983,0.080425
,9/22/2019,C5BR1,5,C,C5B,R1,,Dendrobaena octaedra,juv,epigeic,18,2.890371758,-5.25353486,0.005229002,0.080425
,9/22/2019,C5BR1,5,C,C5B,R1,,Octolasion species,juv,endogeic,33,3.496507561,-3.887171202,0.020503264,0.080425
,9/22/2019,C5BR1,5,C,C5B,R1,,Octolasion species,juv,endogeic,32,3.465735903,-3.967537543,0.018919965,0.080425
,9/22/2019,C5BR1,5,C,C5B,R1,,Octolasion species,juv,endogeic,24,3.17805383,-4.718876811,0.008925198,0.080425
,9/22/2019,C5BR1,5,C,C5B,R1,,Octolasion species,juv,endogeic,15,2.708050201,-5.94638529,0.002615277,0.080425
,9/22/2019,C5BR1,5,C,C5B,R1,,Octolasion species,juv,endogeic,36,3.583518938,-3.659923588,0.025734479,0.080425
,9/22/2019,C5BR1,5,C,C5B,R1,,Dendrobaena octaedra,juv,epigeic,17,2.833213344,-5.404233018,0.004497503,0.080425
,9/22/2019,C5BR1,5,C,C5B,R1,,Dendrobaena octaedra,juv,epigeic,17,2.833213344,-5.404233018,0.004497503,0.080425
,9/22/2019,C5BR1,5,C,C5B,R1,,Octolasion species,juv,endogeic,17,2.833213344,-5.619496709,0.003626466,0.080425
,9/22/2019,C5BR1,5,C,C5B,R1,,Octolasion species,juv,endogeic,16,2.772588722,-5.777830034,0.003095425,0.080425
,9/22/2019,C5BR2,5,C,C5B,R2,org,Dendrobaena octaedra,adult,epigeic,22,3.091042453,-4.724466572,0.008875447,0.080425
,9/22/2019,C5BR2,5,C,C5B,R2,min,Dendrobaena octaedra,juv,epigeic,20,2.995732274,-4.975751861,0.006903327,0.080425
,9/22/2019,C5BR2,5,C,C5B,R2,min,Dendrobaena octaedra,juv,epigeic,18,2.890371758,-5.25353486,0.005229002,0.080425
,9/22/2019,C5BR2,5,C,C5B,R2,min,Dendrobaena octaedra,adult,epigeic,23,3.135494216,-4.6072695,0.009979029,0.080425
,9/22/2019,C5BR2,5,C,C5B,R2,min,Octolasion species,juv,endogeic,34,3.526360525,-3.809204218,0.022165811,0.080425
,9/22/2019,C5BR2,5,C,C5B,R2,min,Aporrectodea species,juv,endogeic,43,3.761200116,-3.467107669,0.031207162,0.080425
,9/22/2019,C5BR2,5,C,C5B,R2,min,Octolasion species,juv,endogeic,30,3.401197382,-4.136092798,0.015985187,0.080425
,9/22/2019,C5BR2,5,C,C5B,R2,min,Octolasion species,juv,endogeic,25,3.218875825,-4.612262008,0.009929333,0.080425
,9/22/2019,C5BR2,5,C,C5B,R2,min,Aporrectodea species,juv,endogeic,50,3.912023005,-3.1393092,0.043312708,0.080425
,9/22/2019,C5BR2,5,C,C5B,R2,min,Octolasion species,juv,endogeic,29,3.36729583,-4.224633481,0.014630696,0.080425
,9/22/2019,C5BR2,5,C,C5B,R2,min,Octolasion species,juv,endogeic,17,2.833213344,-5.619496709,0.003626466,0.080425
,9/22/2019,C5BR2,5,C,C5B,R2,min,Aporrectodea species,juv,endogeic,36,3.583518938,-3.853279939,0.021210055,0.080425
,9/22/2019,C5BR2,5,C,C5B,R2,min,Octolasion species,juv,endogeic,27,3.295836866,-4.411262857,0.012139838,0.080425
,9/22/2019,C5BR2,5,C,C5B,R2,min,Octolasion species,juv,endogeic,18,2.890371758,-5.47021608,0.004210322,0.080425
,9/22/2019,C5BR2,5,C,C5B,R2,min,Octolasion species,juv,endogeic,17,2.833213344,-5.619496709,0.003626466,0.080425
,9/22/2019,C5BR2,5,C,C5B,R2,min,Octolasion species,juv,endogeic,17,2.833213344,-5.619496709,0.003626466,0.080425
,9/22/2019,C5BR2,5,C,C5B,R2,min,Octolasion species,juv,endogeic,17,2.833213344,-5.619496709,0.003626466,0.080425
,9/22/2019,C5BR2,5,C,C5B,R2,min,Octolasion species,juv,endogeic,13,2.564949357,-6.320121763,0.001799724,0.080425
,9/22/2019,C5BR2,5,C,C5B,R2,min,Octolasion species,juv,endogeic,19,2.944438979,-5.329008718,0.004848874,0.080425
,9/22/2019,C5BR2,5,C,C5B,R2,min,Lumbricus rubellus,adult,epi-endogeic,40,3.688879454,-3.274877468,0.037821503,0.080425
,9/22/2019,C5BR2,5,C,C5B,R2,min,Octolasion tyrtaeum,adult,endogeic,37,3.610917913,-3.588365688,0.027643472,0.080425
,9/22/2019,C5BR2,5,C,C5B,R2,min,Octolasion tyrtaeum,adult,endogeic,34,3.526360525,-3.809204218,0.022165811,0.080425
,9/22/2019,C5BR2,5,C,C5B,R2,min,Octolasion tyrtaeum,adult,endogeic,40,3.688879454,-3.38475353,0.033885993,0.080425
,9/22/2019,C5BR3,5,C,C5B,R3,org,Dendrobaena octaedra,juv,epigeic,15,2.708050201,-5.734225645,0.003233385,0.080425
,9/22/2019,C5BR3,5,C,C5B,R3,org,Dendrobaena octaedra,juv,epigeic,18,2.890371758,-5.25353486,0.005229002,0.080425
,9/22/2019,C5BR3,5,C,C5B,R3,min,Dendrobaena octaedra,adult,epigeic,25,3.218875825,-4.387433888,0.012432592,0.080425
,9/22/2019,C5BR3,5,C,C5B,R3,min,Dendrobaena octaedra,juv,epigeic,24,3.17805383,-4.495061076,0.011163999,0.080425
,9/22/2019,C5BR3,5,C,C5B,R3,min,Lumbricus species,juv,epi-anecic,26,3.258096538,-4.27537079,0.013906891,0.080425
,9/22/2019,C5BR3,5,C,C5B,R3,min,Dendrobaena octaedra,juv,epigeic,19,2.944438979,-5.110986631,0.00603013,0.080425
,9/22/2019,C5BR3,5,C,C5B,R3,min,Dendrobaena octaedra,juv,epigeic,10,2.302585093,-6.803234402,0.001110179,0.080425
,9/22/2019,C5BR3,5,C,C5B,R3,min,Dendrobaena octaedra,juv,epigeic,13,2.564949357,-6.111511019,0.002217198,0.080425
,9/22/2019,C5BR3,5,C,C5B,R3,min,Octolasion species,juv,endogeic,29,3.36729583,-4.224633481,0.014630696,0.080425
,9/22/2019,C5BR3,5,C,C5B,R3,min,Octolasion species,juv,endogeic,26,3.258096538,-4.509829272,0.011000338,0.080425
,9/22/2019,C5BR3,5,C,C5B,R3,min,Octolasion species,juv,endogeic,26,3.258096538,-4.509829272,0.011000338,0.080425
,9/22/2019,C5BR3,5,C,C5B,R3,min,Octolasion species,juv,endogeic,25,3.218875825,-4.612262008,0.009929333,0.080425
,9/22/2019,C5BR3,5,C,C5B,R3,min,Octolasion species,juv,endogeic,17,2.833213344,-5.619496709,0.003626466,0.080425
,9/22/2019,C5BR3,5,C,C5B,R3,min,Octolasion species,juv,endogeic,17,2.833213344,-5.619496709,0.003626466,0.080425
,9/22/2019,C5BR3,5,C,C5B,R3,min,Octolasion species,juv,endogeic,18,2.890371758,-5.47021608,0.004210322,0.080425
,9/22/2019,C5BR3,5,C,C5B,R3,min,Octolasion species,juv,endogeic,14,2.63905733,-6.126573972,0.002184051,0.080425
,9/22/2019,C5BR3,5,C,C5B,R3,min,Octolasion species,juv,endogeic,13,2.564949357,-6.320121763,0.001799724,0.080425
,9/22/2019,C5BR3,5,C,C5B,R3,min,Lumbricus species,juv,endogeic,41,3.713572067,-3.217528875,0.040053914,0.080425
,9/21/2019,D2AR1,2,D,D2A,R1,org,Dendrobaena octaedra,juv,epigeic,21,3.044522438,-4.847116593,0.007850983,0.080425
,9/21/2019,D2AR1,2,D,D2A,R1,org,Dendrobaena octaedra,juv,epigeic,19,2.944438979,-5.110986631,0.00603013,0.080425
,9/21/2019,D2AR1,2,D,D2A,R1,org,Dendrobaena octaedra,juv,epigeic,25,3.218875825,-4.387433888,0.012432592,0.080425
,9/21/2019,D2AR1,2,D,D2A,R1,org,Dendrobaena octaedra,adult,epigeic,18,2.890371758,-5.25353486,0.005229002,0.080425
,9/21/2019,D2AR1,2,D,D2A,R1,org,Dendrobaena octaedra,adult,epigeic,21,3.044522438,-4.847116593,0.007850983,0.080425
Bit of tail missing,9/21/2019,D2AR1,2,D,D2A,R1,org,Dendrobaena octaedra,juv,epigeic,17,2.833213344,-5.404233018,0.004497503,0.080425
,9/21/2019,D2AR1,2,D,D2A,R1,org,Dendrobaena octaedra,juv,epigeic,21,3.044522438,-4.847116593,0.007850983,0.080425
,9/21/2019,D2AR1,2,D,D2A,R1,org,Dendrobaena octaedra,adult,epigeic,15,2.708050201,-5.734225645,0.003233385,0.080425
,9/21/2019,D2AR1,2,D,D2A,R1,org,Dendrobaena octaedra,juv,epigeic,17,2.833213344,-5.404233018,0.004497503,0.080425
,9/21/2019,D2AR1,2,D,D2A,R1,org,Dendrobaena octaedra,juv,epigeic,12,2.48490665,-6.322543618,0.001795371,0.080425
,9/21/2019,D2AR1,2,D,D2A,R1,org,Dendrobaena octaedra,juv,epigeic,16,2.772588722,-5.564069834,0.003833144,0.080425
,9/21/2019,D2AR1,2,D,D2A,R1,org,Dendrobaena octaedra,juv,epigeic,13,2.564949357,-6.111511019,0.002217198,0.080425
,9/21/2019,D2AR1,2,D,D2A,R1,org,Dendrobaena octaedra,juv,epigeic,10,2.302585093,-6.803234402,0.001110179,0.080425
,9/21/2019,D2AR1,2,D,D2A,R1,org,Dendrobaena octaedra,juv,epigeic,10,2.302585093,-6.803234402,0.001110179,0.080425
,9/21/2019,D2AR1,2,D,D2A,R1,org,Dendrobaena octaedra,juv,epigeic,11,2.397895273,-6.551949113,0.001427331,0.080425
,9/21/2019,D2AR1,2,D,D2A,R1,org,Dendrobaena octaedra,juv,epigeic,12,2.48490665,-6.322543618,0.001795371,0.080425
chunk of worm ,9/21/2019,D2AR1,2,D,D2A,R1,org,Dendrobaena octaedra,juv,epigeic,7,1.945910149,-7.743607892,4.33505e-4,0.080425
head portion of worm,9/21/2019,D2AR1,2,D,D2A,R1,org,Dendrobaena octaedra,juv,epigeic,6,1.791759469,-8.150026159,2.88728e-4,0.080425
,9/21/2019,D2AR1,2,D,D2A,R1,org,Aporrectodea species,juv,endogeic,27,3.295836866,-4.478528155,0.011350106,0.080425
,9/21/2019,D2AR1,2,D,D2A,R1,org,Aporrectodea species,juv,endogeic,23,3.135494216,-4.827016871,0.008010382,0.080425
,9/21/2019,D2AR1,2,D,D2A,R1,org,Aporrectodea species,juv,endogeic,11,2.397895273,-6.430114414,0.001612266,0.080425
chunk of head,9/21/2019,D2AR1,2,D,D2A,R1,org,Dendrobaena octaedra,juv,epigeic,6,1.791759469,-8.150026159,2.88728e-4,0.080425
Test tube cap broken,9/21/2019,D2AR1,2,D,D2A,R1,min,Dendrobaena octaedra,juv,epigeic,24,3.17805383,-4.495061076,0.011163999,0.080425
,9/21/2019,D2AR1,2,D,D2A,R1,min,Dendrobaena octaedra,juv,epigeic,28,3.33220451,-4.088642809,0.016761967,0.080425
,9/21/2019,D2AR1,2,D,D2A,R1,min,Dendrobaena octaedra,juv,epigeic,24,3.17805383,-4.495061076,0.011163999,0.080425
,9/21/2019,D2AR1,2,D,D2A,R1,min,Dendrobaena octaedra,juv,epigeic,12,2.48490665,-6.322543618,0.001795371,0.080425
missing bottom half,9/21/2019,D2AR1,2,D,D2A,R1,min,Dendrobaena octaedra,juv,epigeic,13,2.564949357,-6.111511019,0.002217198,0.080425
missing top half,9/21/2019,D2AR1,2,D,D2A,R1,min,Dendrobaena octaedra,juv,epigeic,15,2.708050201,-5.734225645,0.003233385,0.080425
majorly deformed,9/21/2019,D2AR1,2,D,D2A,R1,min,Dendrobaena octaedra,adult,epigeic,19,2.944438979,-5.110986631,0.00603013,0.080425
,9/21/2019,D2AR1,2,D,D2A,R1,min,Dendrobaena octaedra,juv,epigeic,25,3.218875825,-4.387433888,0.012432592,0.080425
cracked test tube,NA,D2AR2,2,D,D2A,R2,org,Dendrobaena octaedra,adult,epigeic,23,3.135494216,-4.6072695,0.009979029,0.080425
,NA,D2AR2,2,D,D2A,R2,org,Dendrobaena octaedra,juv,epigeic,24,3.17805383,-4.495061076,0.011163999,0.080425
,NA,D2AR2,2,D,D2A,R2,org,Dendrobaena octaedra,juv,epigeic,19,2.944438979,-5.110986631,0.00603013,0.080425
,NA,D2AR2,2,D,D2A,R2,org,Dendrobaena octaedra,adult,epigeic,21,3.044522438,-4.847116593,0.007850983,0.080425
,NA,D2AR2,2,D,D2A,R2,org,Dendrobaena octaedra,juv,epigeic,25,3.218875825,-4.387433888,0.012432592,0.080425
,NA,D2AR2,2,D,D2A,R2,org,Dendrobaena octaedra,adult,epigeic,16,2.772588722,-5.564069834,0.003833144,0.080425
,NA,D2AR2,2,D,D2A,R2,org,Dendrobaena octaedra,juv,epigeic,25,3.218875825,-4.387433888,0.012432592,0.080425
,NA,D2AR2,2,D,D2A,R2,org,Dendrobaena octaedra,juv,epigeic,18,2.890371758,-5.25353486,0.005229002,0.080425
,NA,D2AR2,2,D,D2A,R2,org,Dendrobaena octaedra,adult,epigeic,17,2.833213344,-5.404233018,0.004497503,0.080425
,NA,D2AR2,2,D,D2A,R2,org,Aporrectodea species,juv,endogeic,55,4.007333185,-2.932162055,0.053281716,0.080425
,NA,D2AR2,2,D,D2A,R2,org,Aporrectodea species,juv,endogeic,28,3.33220451,-4.399486718,0.012283643,0.080425
tail section,NA,D2AR2,2,D,D2A,R2,org,Dendrobaena octaedra,UNK,epigeic,6,1.791759469,-8.150026159,2.88728e-4,0.080425
,9/21/2019,D2AR2,2,D,D2A,R2,min,Dendrobaena octaedra,juv,epigeic,19,2.944438979,-5.110986631,0.00603013,0.080425
,9/21/2019,D2AR2,2,D,D2A,R2,min,Dendrobaena octaedra,juv,epigeic,19,2.944438979,-5.110986631,0.00603013,0.080425
,9/21/2019,D2AR2,2,D,D2A,R2,min,Dendrobaena octaedra,adult,epigeic,23,3.135494216,-4.6072695,0.009979029,0.080425
,9/21/2019,D2AR2,2,D,D2A,R2,min,Dendrobaena octaedra,juv,epigeic,13,2.564949357,-6.111511019,0.002217198,0.080425
,9/21/2019,D2AR2,2,D,D2A,R2,min,Dendrobaena octaedra,juv,epigeic,15,2.708050201,-5.734225645,0.003233385,0.080425
,9/21/2019,D2AR2,2,D,D2A,R2,min,Dendrobaena octaedra,juv,epigeic,10,2.302585093,-6.803234402,0.001110179,0.080425
,9/21/2019,D2AR2,2,D,D2A,R2,min,Dendrobaena octaedra,juv,epigeic,9,2.197224577,-7.081017402,8.40917e-4,0.080425
only small portion of head (seemed adult size though),9/21/2019,D2AR2,2,D,D2A,R2,min,Dendrobaena octaedra,adult,epigeic,6,1.791759469,-8.150026159,2.88728e-4,0.080425
,9/21/2019,D2AR3,2,D,D2A,R3,org,Dendrobaeana octaedra,adult,epigeic,21,3.044522438,-4.847116593,0.007850983,0.080425
,9/21/2019,D2AR3,2,D,D2A,R3,org,Dendrobaeana octaedra,adult,epigeic,18,2.890371758,-5.25353486,0.005229002,0.080425
,9/21/2019,D2AR3,2,D,D2A,R3,org,Bimastos rubidus,adult,epigeic,20,2.995732274,-4.975751861,0.006903327,0.080425
,9/21/2019,D2AR3,2,D,D2A,R3,org,Dendrobaeana octaedra,juv,epigeic,18,2.890371758,-5.25353486,0.005229002,0.080425
